,nodes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,mean,sd,bg
0.09-32-0.85,29, 8.65, 8.65,10.15,10.34,10.71,10.15, 8.08, 7.14,10.3, 8.65, 9.29,1.141, 7.52
0.07-36-0.85,32,10.53,10.53, 8.83, 8.83,10.34, 6.58,10.15,11.09,16.4,10.71,10.39,2.358,12.59
0.07-32-0.75,52,26.50,16.35,24.81,19.17,19.17,25.56,32.89,33.46,29.1,23.87,25.09,5.454,18.23
0.07-32-0,58,19.74,31.95,29.14,39.10,23.31,40.98,38.16,23.87,34.2,41.17,32.16,7.468,19.74
0.08-28-0.55,53,38.16,21.62,20.11,23.87,30.45,34.59,28.76,28.95,32.7,31.95,29.12,5.471,20.68
0.16-28-0.85,22, 4.51, 4.70, 4.70, 4.89, 5.45, 4.51, 6.20, 4.70, 6.2, 5.45, 5.13,0.624, 4.51
0.08-32-0.4,61,34.21,40.98,35.90,29.14,45.11,34.40,35.34,31.02,34.4,48.50,36.90,5.802,26.50
0.06-32-0.25,60,33.83,40.98,38.16,31.02,34.21,24.25,37.59,38.53,19.2,40.98,33.87,6.869,28.76
0.07-44-0.85,39,10.15,17.11,17.67,15.98,24.81,10.34,18.23,16.73,16.7, 8.65,15.64,4.547,15.41
0.09-32-0.75,56,50.94,38.91,34.21,38.16,28.95,31.20,34.59,20.68,38.9,24.44,34.10,8.094,31.02
