,nodes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,mean,sd,bg
0.09-32-0.85,29, 4.89, 4.70, 6.39, 6.58, 6.20, 4.70, 5.45, 4.89, 4.51, 5.83, 5.45, 4.51, 6.20, 5.26, 7.14, 4.70, 7.14, 5.08, 6.58, 4.89, 5.45, 6.58, 6.39, 6.20, 5.45, 4.70, 4.51, 4.70, 4.51, 6.39, 5.53,0.843, 7.52
0.07-32-0.75,52,13.16,13.53,10.34, 9.02,10.15,11.09,10.34,10.90, 9.77, 9.59,10.15,17.29, 8.65,13.91, 8.08,10.34, 8.65, 8.08,10.15, 7.52,14.66,10.53,10.53,10.34,12.22,19.74,13.91, 7.71, 8.65,10.90,11.00,2.752,18.23
0.07-32-0,58,11.09,13.35,13.91, 6.95,13.91, 8.65,13.72,15.04,19.74, 9.21, 9.77,10.15,23.87,12.59,10.15,16.73, 9.59,13.35,13.35,16.35,10.15,11.09,13.53,13.53,10.34,10.15,10.34, 9.21,13.16,20.11,12.77,3.676,19.74
0.08-28-0.55,53, 9.21, 8.65,10.15,19.74, 8.83,16.35,10.53, 7.14,15.23,11.28, 9.02,19.17,11.47,11.28, 7.14, 9.59, 7.71,13.35,10.15,11.09,10.71,14.29,13.91,15.04,16.35,10.15,15.04,13.35,16.54,10.53,12.10,3.360,20.68
0.16-28-0.85,22, 4.14, 3.57, 4.51, 3.76, 4.14, 5.26, 2.44, 4.32, 1.32, 2.82, 2.82, 3.01, 4.32, 4.51, 3.20, 3.01, 4.51, 3.57, 4.51, 3.01, 3.57, 3.20, 4.32, 3.20, 4.70, 3.01, 2.82, 3.01, 2.82, 3.01, 3.55,0.836, 4.51
0.08-32-0.4,61,11.84,14.29,12.03,10.15,10.53,10.71,10.71,10.34,13.16,16.92,16.73,14.66,17.11,21.62, 8.65,12.41,19.74,17.29,10.90,12.03,10.15,21.62,14.66,19.17, 9.59,15.41, 9.59,11.09,13.53,15.98,13.75,3.631,26.50
0.06-32-0.25,60,10.34,12.97,13.91,17.11, 8.08,16.35,15.04,16.73,21.43,13.72,18.98,19.74,16.35, 9.59,11.84,16.35,15.04,13.91,16.35,14.29,16.73,17.48,10.34,14.29,19.36,10.34,24.81,13.91,20.11,15.60,15.37,3.669,28.76
0.07-36-0.85,32, 7.14, 6.58, 6.58, 6.58, 6.20, 6.58, 5.26, 6.20, 5.45, 6.58, 6.20, 5.45,20.68, 5.45, 6.20, 4.89, 9.02, 5.45, 5.08, 8.65, 4.51, 6.58, 5.08, 6.58, 7.14, 6.58, 6.39, 8.08, 6.39, 7.14, 6.82,2.766,12.59
0.08-28-0.85,32, 6.58, 8.08, 6.20, 5.45, 9.77, 6.20, 8.65, 6.58, 5.64, 6.20, 7.14, 5.45, 5.45, 7.14, 6.58, 5.26, 5.08, 9.02, 5.45, 7.14, 7.71, 7.14, 4.89, 8.27, 4.89, 5.45, 7.14, 5.26, 6.58, 5.45, 6.53,1.275,10.71
0.06-56-0.85,45, 9.21,17.11,10.34,10.34, 6.58, 9.59, 9.02, 8.65,13.53,12.97, 9.59, 6.20, 6.20, 8.65, 8.27, 7.14,19.17,10.34, 8.65, 9.59,18.98, 9.59,10.53, 9.21,10.15, 7.71, 6.58, 9.21, 6.58,15.60,10.18,3.450,26.13
