tf,mean,sd
ATM,4.60420427829802,2.98949200066727
DNMT1,1.42396990815733,2.65862891608103
DNMT3A,1.6426683890741,2.57834073382916
E2F1,1.41815073543123,2.76646055358416
E2F2,1.30148963306239,2.54581919459087
E2F4,3.02451112446568,2.41354666486693
E2F5,3.00953707223014,2.379969896293
ETS2,4.56583281833002,2.96218336531233
GATA1,1.41806619985815,2.62259945924138
IRF3,4.77094206174841,2.97242376719021
MYBL2,1.30295439497094,2.59456117715137
MYC,0.97710885630914,2.13383516615777
MYCN,4.41659215304331,2.93269991855837
NFIC,1.42788682134111,2.61651481244681
PAX5,1.79960588975853,2.60143634627703
POU2F1,4.87278389538687,2.65136404508896
RARA,1.69835096530401,2.66409422262632
RB1,4.41664449089468,2.98656992236335
STAT3,4.84398032054138,2.79848209155834
TFDP1,1.46026444574078,2.72061110110472
TP53,1.06018630000872,2.27835975791943
TP63,1.8058323714552,2.66677504671351
USF2,3.00848238965511,2.33848986486844
MCM3,1.21089389458986,2.43987226826114
MCM5,1.2117928079045,2.43437033762666
SMARCA4,3.44160087934886,2.2696231949319
IRF7,5.38642006226246,2.33186171730594
EBF1,3.04036658887909,2.29677975856951
CTBP1,4.91540392538026,2.69249821723992
